Modelo,Categoria,Seed apenas,Seed + WinRate,Ganho com WinRateDiff
Random Forest,Combinado,0.05391324788156928,0.071953199490953,-0.018039951609383716
Random Forest,Feminino,0.052936433822202235,0.0727252827115313,-0.01978884888932906
Random Forest,Masculino,0.05489006194093634,0.07118111627037467,-0.01629105432943833
Regressão linear,Combinado,0.05417535462010699,0.05557677435193281,-0.0014014197318258231
Regressão linear,Feminino,0.05054458994925362,0.05421731597108669,-0.0036727260218330712
Regressão linear,Masculino,0.05780611929096034,0.056936232732778924,0.000869886558181418
XGBoost,Combinado,0.053922129365454895,0.055080340747420256,-0.0011582113819653614
XGBoost,Feminino,0.052962013907187425,0.05380098476704477,-0.0008389708598573464
XGBoost,Masculino,0.054882244823722365,0.056359696727795734,-0.0014774519040733694
