number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_scores_anuais,state
15,0.07068415554373947,2026-09-22 17:02:17.175970,2026-09-22 17:02:17.795276,0 days 00:00:00.619306,1.0,2.912554411220168,0.016463253850145753,1,43.413444401627295,500,1.7942374618989315e-05,2.681338684798724,0.9155101409798937,"{'2021': 0.0843872628302421, '2022': 0.08294681358596293, '2023': 0.07537917860517437, '2024': 0.05656076153319684, '2025': 0.05414676116412107}",COMPLETE
16,0.0708343230192875,2026-09-22 17:02:17.795403,2026-09-22 17:02:18.600413,0 days 00:00:00.805010,1.0,1.0848272465872293,0.029184806175084455,1,7.678503565694715,600,1.0069519706331821e-05,1.3659035710825342,0.8017922411711039,"{'2021': 0.08508335388191615, '2022': 0.08335498144899543, '2023': 0.07546640326351124, '2024': 0.05675345251690023, '2025': 0.053513423985114494}",COMPLETE
17,0.07298829620398177,2026-09-22 17:02:18.600587,2026-09-22 17:02:19.377115,0 days 00:00:00.776528,1.0,2.927692578834262,0.05582754318421814,3,18.151175420630707,400,7.951618491415574e-05,89.64883215070991,0.9105216938502231,"{'2021': 0.08733690128628604, '2022': 0.08476682895087705, '2023': 0.07803088068144055, '2024': 0.0595982539499417, '2025': 0.055208616151363514}",COMPLETE
18,0.07149857310055571,2026-09-22 17:02:19.377285,2026-09-22 17:02:20.179989,0 days 00:00:00.802704,1.0,4.362705527423543,0.0153002140456805,2,9.608053669805155,500,0.00044272909208835186,16.02950564135921,0.8586191720277639,"{'2021': 0.08514743655340079, '2022': 0.08411562065923452, '2023': 0.07651028793797489, '2024': 0.05740091516832418, '2025': 0.054318605183844244}",COMPLETE
19,0.07101006584148513,2026-09-22 17:02:20.180156,2026-09-22 17:02:20.804618,0 days 00:00:00.624462,1.0,2.006439429335255,0.030627946359991304,1,43.30853001509406,450,5.2627582951505566e-05,1.030680042357532,0.8183056807726329,"{'2021': 0.08571609660852438, '2022': 0.08342782071490276, '2023': 0.07558140028215786, '2024': 0.056298685679007, '2025': 0.05402632592283366}",COMPLETE
20,0.07798053978709195,2026-09-22 17:02:20.804906,2026-09-22 17:02:21.438687,0 days 00:00:00.633781,1.0,0.20590851204228883,0.14847453255301402,3,18.656107583732474,350,0.001725860337108153,0.32920966365999704,0.9598504768694207,"{'2021': 0.09360968358858271, '2022': 0.08873914749642335, '2023': 0.08391160813056485, '2024': 0.0637505145679012, '2025': 0.05989174515198763}",COMPLETE
21,0.07035493633095578,2026-09-22 17:02:21.438811,2026-09-22 17:02:22.100504,0 days 00:00:00.661693,1.0,2.838974915018301,0.012771269813992746,1,46.44767315534375,500,1.0507861000110754e-05,2.568957091404889,0.9063328652228794,"{'2021': 0.08346060025451088, '2022': 0.08230780679622146, '2023': 0.07530669926684007, '2024': 0.05637072996465484, '2025': 0.05432884537255174}",COMPLETE
22,0.07050526268921513,2026-09-22 17:02:22.100675,2026-09-22 17:02:22.828726,0 days 00:00:00.728051,1.0,4.112867523309378,0.012689764289026415,1,48.1261167688133,550,1.1969458803741857e-05,2.6663820533924487,0.8925734680884642,"{'2021': 0.08411412285669527, '2022': 0.08209516034524891, '2023': 0.07539765294728366, '2024': 0.05643090759435803, '2025': 0.05448846970248977}",COMPLETE
23,0.07059857047639106,2026-09-22 17:02:22.828852,2026-09-22 17:02:23.506656,0 days 00:00:00.677804,1.0,4.297355133435474,0.013362121439500812,1,51.05029519713945,550,0.00017501554378399344,3.1407122029500703,0.9415831594514217,"{'2021': 0.08423472112875664, '2022': 0.08241018063661083, '2023': 0.07563196650287951, '2024': 0.056487907484880376, '2025': 0.054228076628827955}",COMPLETE
24,0.07152592602282706,2026-09-22 17:02:23.506781,2026-09-22 17:02:24.320389,0 days 00:00:00.813608,1.0,2.725421465330396,0.010153688943903557,2,78.10793715339804,550,3.789719569104923e-05,11.367452478219057,0.884807858314015,"{'2021': 0.08510937616859554, '2022': 0.08418183968515418, '2023': 0.07648869032992979, '2024': 0.0570911556403852, '2025': 0.05475856829007066}",COMPLETE
25,0.07074332268330127,2026-09-22 17:02:24.320674,2026-09-22 17:02:25.113499,0 days 00:00:00.792825,1.0,4.220227524181637,0.013968644707745224,1,39.59475744598378,600,3.129604371242791e-05,0.7021623589205422,0.9405400768263701,"{'2021': 0.08417275149787054, '2022': 0.08283658140489439, '2023': 0.07573543139078268, '2024': 0.05667761785566503, '2025': 0.05429423126729376}",COMPLETE
26,0.07153291178606544,2026-09-22 17:02:25.113672,2026-09-22 17:02:25.888352,0 days 00:00:00.774680,1.0,1.7478086302792553,0.019701740540854468,2,52.63043306519263,500,1.0332462914349404e-05,2.52981784502509,0.8810821647744101,"{'2021': 0.08569992272461226, '2022': 0.08367811489401131, '2023': 0.0763338588404689, '2024': 0.057853769948383614, '2025': 0.05409889252285119}",COMPLETE
27,0.06982413319732308,2026-09-22 17:02:25.888517,2026-09-22 17:02:26.614439,0 days 00:00:00.725922,1.0,3.23749771384449,0.010128064481388248,1,31.32001852684272,550,0.00012357806860706025,19.947146225801113,0.9591759196011425,"{'2021': 0.08182957080254168, '2022': 0.08173527898156327, '2023': 0.07482748064742384, '2024': 0.056435747996029705, '2025': 0.054292587559056936}",COMPLETE
28,0.07108162076956351,2026-09-22 17:02:26.614610,2026-09-22 17:02:27.313360,0 days 00:00:00.698750,1.0,2.737889506657753,0.010016304653836437,2,31.020864205217347,450,0.00015432794916882514,28.05076936137266,0.9643643608577281,"{'2021': 0.08346179052587027, '2022': 0.08363255535985681, '2023': 0.0763675731198606, '2024': 0.05721957153176538, '2025': 0.054726613310464474}",COMPLETE
29,0.06982085421732384,2026-09-22 17:02:27.313522,2026-09-22 17:02:27.798630,0 days 00:00:00.485108,1.0,3.1955045490327145,0.015533475780068709,1,28.39153426673116,350,0.0005319035315579878,23.634061077276915,0.9278170389008983,"{'2021': 0.08180477591930038, '2022': 0.08194476134091569, '2023': 0.07462617696207619, '2024': 0.05650995160273481, '2025': 0.05421860526159218}",COMPLETE
