number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_n_estimators,user_attrs_scores_anuais,state
19,0.07170382394872149,2026-09-22 17:01:40.796069,2026-09-22 17:01:42.351626,0 days 00:00:01.555557,4.0,1.0,0.6065600656227559,12,150,"{'2021': 0.08361192663159833, '2022': 0.08427071034649172, '2023': 0.07738070151512592, '2024': 0.056992116473381885, '2025': 0.056263664777009635}",COMPLETE
20,0.07295070896897639,2026-09-22 17:01:42.351813,2026-09-22 17:01:44.571039,0 days 00:00:02.219226,,1.0,0.9839102311556845,23,200,"{'2021': 0.0866863351564177, '2022': 0.08358661407025392, '2023': 0.07554302434615859, '2024': 0.06058745020096916, '2025': 0.05835012107108254}",COMPLETE
21,0.07170012663637663,2026-09-22 17:01:44.571147,2026-09-22 17:01:46.571382,0 days 00:00:02.000235,4.0,1.0,0.6850521451721231,9,200,"{'2021': 0.08350594186992782, '2022': 0.08436465792012708, '2023': 0.07724820407161925, '2024': 0.05713923749825322, '2025': 0.05624259182195581}",COMPLETE
22,0.07161270765027025,2026-09-22 17:01:46.571499,2026-09-22 17:01:49.144231,0 days 00:00:02.572732,4.0,1.0,0.7643344271714652,6,250,"{'2021': 0.08325066850641526, '2022': 0.08409803744758883, '2023': 0.07735581000115915, '2024': 0.057094831346219725, '2025': 0.0562641909499683}",COMPLETE
23,0.07164834569169999,2026-09-22 17:01:49.144347,2026-09-22 17:01:52.146138,0 days 00:00:03.001791,4.0,1.0,0.7727858805731752,5,300,"{'2021': 0.08313659724129313, '2022': 0.08423855857891362, '2023': 0.0772264905622813, '2024': 0.0572934087564297, '2025': 0.05634667331958223}",COMPLETE
24,0.07981339820150002,2026-09-22 17:01:52.146253,2026-09-22 17:01:56.901361,0 days 00:00:04.755108,12.0,1.0,0.8710873915492856,4,400,"{'2021': 0.09385310750089214, '2022': 0.08753282142266348, '2023': 0.08280297702302031, '2024': 0.06509143147034985, '2025': 0.06978665359057432}",COMPLETE
25,0.0716822299679888,2026-09-22 17:01:56.901544,2026-09-22 17:01:59.446063,0 days 00:00:02.544519,4.0,1.0,0.934214967159693,13,250,"{'2021': 0.08286449311422148, '2022': 0.08440332335724891, '2023': 0.07748044108781763, '2024': 0.05722389638878472, '2025': 0.05643899589187122}",COMPLETE
26,0.07143285545943139,2026-09-22 17:01:59.446175,2026-09-22 17:02:01.026761,0 days 00:00:01.580586,4.0,0.5,0.7021605632102004,3,150,"{'2021': 0.08559576002249589, '2022': 0.0812419479987903, '2023': 0.07605668444316106, '2024': 0.05735909706491646, '2025': 0.05691078776779323}",COMPLETE
27,0.07144087450236437,2026-09-22 17:02:01.026877,2026-09-22 17:02:02.582343,0 days 00:00:01.555466,4.0,0.5,0.7032956171134614,3,150,"{'2021': 0.08528660412293129, '2022': 0.08108612457030157, '2023': 0.07633727168562994, '2024': 0.057365078172273126, '2025': 0.05712929396068593}",COMPLETE
28,0.0713975003431827,2026-09-22 17:02:02.582454,2026-09-22 17:02:04.140311,0 days 00:00:01.557857,4.0,0.5,0.7047788912373731,3,150,"{'2021': 0.08535579650340905, '2022': 0.0809818643679265, '2023': 0.07603814660576301, '2024': 0.057410919337473026, '2025': 0.057200774901341844}",COMPLETE
29,0.0787013778843385,2026-09-22 17:02:04.140423,2026-09-22 17:02:06.381658,0 days 00:00:02.241235,12.0,0.5,0.6995779135100955,3,200,"{'2021': 0.09382341331175818, '2022': 0.08676283724244581, '2023': 0.08110926542218411, '2024': 0.061320026237649705, '2025': 0.0704913472076547}",COMPLETE
