number,value,datetime_start,datetime_complete,duration,params_fit_intercept,user_attrs_scores_anuais,system_attrs_grid_id,system_attrs_search_space,state
0,0.07418743848556919,2026-09-22 17:00:53.045967,2026-09-22 17:00:53.088969,0 days 00:00:00.043002,True,"{'2021': 0.0894303301946416, '2022': 0.08783089254803567, '2023': 0.07714871258802232, '2024': 0.060969373279638, '2025': 0.05555788381750834}",0,"{'fit_intercept': [False, True]}",COMPLETE
1,0.07459549378533395,2026-09-22 17:00:53.089272,2026-09-22 17:00:53.127189,0 days 00:00:00.037917,False,"{'2021': 0.09056005847077277, '2022': 0.08727075782172145, '2023': 0.07716936960337697, '2024': 0.06240050867886579, '2025': 0.05557677435193281}",1,"{'fit_intercept': [False, True]}",COMPLETE
